Random_Location,Min_Distance_From_Acute_Hospital,Is_Medical_Desert,latitude,longitude
"(39.98966165793521, -101.64561705674687)",17.234619,No,39.98966165793521,-101.64561705674687
"(34.589417485854696, -107.15471959732653)",40.509546,No,34.589417485854696,-107.15471959732653
"(45.744886329994905, -89.58135722811862)",11.815108,No,45.744886329994905,-89.58135722811862
"(30.396573799353256, -112.44267873949116)",109.506929,Yes,30.396573799353256,-112.44267873949116
"(35.21853615266809, -71.91233050307605)",214.515681,Yes,35.21853615266809,-71.91233050307605
"(33.61457762942327, -84.62564451848597)",10.530698,No,33.61457762942327,-84.62564451848597
"(33.02744217175063, -72.90136799921056)",250.547782,Yes,33.02744217175063,-72.90136799921056
"(39.82482157308352, -73.7126159802785)",28.244382,No,39.82482157308352,-73.7126159802785
"(26.929226216507534, -71.28079429551879)",541.845884,Yes,26.929226216507534,-71.28079429551879
"(44.14806241660765, -82.6276648258852)",31.201477,No,44.14806241660765,-82.6276648258852
"(30.344176659763388, -97.13314440603193)",23.439634,No,30.344176659763388,-97.13314440603193
"(40.72973677582369, -77.48736570860346)",8.814375,No,40.72973677582369,-77.48736570860346
"(32.069195881441146, -124.38313480159458)",288.579214,Yes,32.069195881441146,-124.38313480159458
"(46.70660540608341, -122.63862675240443)",16.490198,No,46.70660540608341,-122.63862675240443
"(28.13436403805735, -104.1639304093541)",205.916778,Yes,28.13436403805735,-104.1639304093541
"(30.006023448072774, -119.40250943969944)",226.647412,Yes,30.006023448072774,-119.40250943969944
"(29.384912236372266, -96.44197204597371)",14.636264,No,29.384912236372266,-96.44197204597371
"(45.82583837206709, -85.00765498855142)",31.343512,No,45.82583837206709,-85.00765498855142
"(30.953007795945595, -109.71108869510493)",28.084482,No,30.953007795945595,-109.71108869510493
"(33.27392498405038, -89.08217831658726)",20.567811,No,33.27392498405038,-89.08217831658726
"(38.54999170131336, -124.87681908227593)",83.965073,Yes,38.54999170131336,-124.87681908227593
"(28.13167726218297, -128.87284020012936)",669.76044,Yes,28.13167726218297,-128.87284020012936
"(28.04329836607098, -78.3408984441728)",128.488424,Yes,28.04329836607098,-78.3408984441728
"(45.41526721162444, -109.46710294091187)",52.840297,No,45.41526721162444,-109.46710294091187
"(40.90977236518408, -70.16202628675343)",25.418757,No,40.90977236518408,-70.16202628675343
"(31.377242501564666, -117.90997102509462)",98.615683,Yes,31.377242501564666,-117.90997102509462
"(36.10381366246296, -100.54255961255052)",16.299467,No,36.10381366246296,-100.54255961255052
"(35.605065899147405, -119.38804723309264)",13.707996,No,35.605065899147405,-119.38804723309264
"(30.596373745610045, -77.1103163935534)",221.834662,Yes,30.596373745610045,-77.1103163935534
"(38.38160657109267, -86.29728947706604)",25.750616,No,38.38160657109267,-86.29728947706604
"(27.81620379457987, -109.33526158460191)",243.056735,Yes,27.81620379457987,-109.33526158460191
"(39.32808076503544, -87.5058029707606)",8.156125,No,39.32808076503544,-87.5058029707606
"(37.323056025807205, -128.14308513797116)",276.948303,Yes,37.323056025807205,-128.14308513797116
"(30.11614513622123, -105.89489041043227)",114.08316,Yes,30.11614513622123,-105.89489041043227
"(46.88716433079112, -116.15654761667392)",28.078083,No,46.88716433079112,-116.15654761667392
"(32.06522110420859, -71.21000693383249)",367.786022,Yes,32.06522110420859,-71.21000693383249
"(43.449862244556456, -90.89317217932248)",7.032766,No,43.449862244556456,-90.89317217932248
"(30.88349461022117, -124.06482371689637)",333.830493,Yes,30.88349461022117,-124.06482371689637
"(43.98462080198077, -120.37582189893739)",31.099141,No,43.98462080198077,-120.37582189893739
"(39.08575439137457, -89.25558136170395)",15.019037,No,39.08575439137457,-89.25558136170395
"(46.24461322597328, -88.13946356784007)",25.099564,No,46.24461322597328,-88.13946356784007
"(36.840986390055164, -91.75437741431196)",9.731237,No,36.840986390055164,-91.75437741431196
"(39.99497181812394, -104.94599410629914)",3.571135,No,39.99497181812394,-104.94599410629914
"(45.437824505062125, -70.0944608406328)",56.116464,No,45.437824505062125,-70.0944608406328
"(33.78922166959033, -89.14816525030133)",11.29173,No,33.78922166959033,-89.14816525030133
"(34.72855652341256, -112.8043120588022)",21.755811,No,34.72855652341256,-112.8043120588022
"(46.10623683832538, -86.84750646529018)",27.82657,No,46.10623683832538,-86.84750646529018
"(44.35854909649683, -94.68422444281545)",37.250538,No,44.35854909649683,-94.68422444281545
"(27.28376245346979, -87.163148151838)",206.229308,Yes,27.28376245346979,-87.163148151838
"(27.31062977045193, -112.17549638516147)",287.065512,Yes,27.31062977045193,-112.17549638516147
"(31.50288935426105, -79.05362161071945)",102.139986,Yes,31.50288935426105,-79.05362161071945
"(27.24878207425339, -120.82914106081195)",432.997334,Yes,27.24878207425339,-120.82914106081195
"(32.74278734588265, -124.31360906017565)",258.427183,Yes,32.74278734588265,-124.31360906017565
"(39.70310388410733, -83.69115660756084)",12.609587,No,39.70310388410733,-83.69115660756084
"(38.62800596543238, -100.53360705895453)",22.927592,No,38.62800596543238,-100.53360705895453
"(37.699741125046316, -109.02379543471739)",70.565443,Yes,37.699741125046316,-109.02379543471739
"(45.27876135865195, -112.50509470749753)",50.436289,No,45.27876135865195,-112.50509470749753
"(36.803970126263295, -92.09708115897168)",13.149846,No,36.803970126263295,-92.09708115897168
"(26.995546597947836, -93.56021423623388)",175.904615,Yes,26.995546597947836,-93.56021423623388
"(41.22530096922654, -128.23515684219598)",212.216922,Yes,41.22530096922654,-128.23515684219598
"(45.140727500768364, -101.90018530432869)",33.718834,No,45.140727500768364,-101.90018530432869
"(31.766536131793476, -119.33795931089092)",123.283813,Yes,31.766536131793476,-119.33795931089092
"(38.75193262676428, -107.15483239851186)",42.959392,No,38.75193262676428,-107.15483239851186
"(31.422239604413278, -82.0630245338597)",15.630269,No,31.422239604413278,-82.0630245338597
"(45.87508820106379, -112.62402931573888)",9.961644,No,45.87508820106379,-112.62402931573888
"(38.13297608266777, -75.57655767950268)",15.850897,No,38.13297608266777,-75.57655767950268
"(32.846938279226514, -108.94032458269803)",39.680227,No,32.846938279226514,-108.94032458269803
"(46.713879422097925, -73.72828938344202)",131.113232,Yes,46.713879422097925,-73.72828938344202
"(29.99364625935915, -90.49804438084294)",9.023086,No,29.99364625935915,-90.49804438084294
"(44.632170206758076, -87.09723726910353)",18.725136,No,44.632170206758076,-87.09723726910353
"(42.66005158745705, -124.36207465441609)",41.733877,No,42.66005158745705,-124.36207465441609
"(39.3885375151711, -103.56824041607776)",61.32818,Yes,39.3885375151711,-103.56824041607776
"(44.86688001600059, -78.51168393198087)",109.410251,Yes,44.86688001600059,-78.51168393198087
"(30.503448024593133, -116.20988817778719)",153.445727,Yes,30.503448024593133,-116.20988817778719
"(40.64997748007109, -78.54426421306052)",8.479504,No,40.64997748007109,-78.54426421306052
"(30.654146940728587, -105.48505488531546)",88.743876,Yes,30.654146940728587,-105.48505488531546
"(33.79226665685966, -80.53151492822329)",14.134947,No,33.79226665685966,-80.53151492822329
"(43.87971082615694, -100.87623018880686)",42.46291,No,43.87971082615694,-100.87623018880686
"(40.3263337520582, -78.66927386236468)",10.601066,No,40.3263337520582,-78.66927386236468
"(39.40151421191068, -100.05150394033403)",25.174085,No,39.40151421191068,-100.05150394033403
"(43.515178724049804, -120.88926737777494)",42.627909,No,43.515178724049804,-120.88926737777494
"(34.57336868726989, -80.57422351513164)",15.712654,No,34.57336868726989,-80.57422351513164
"(33.29912876189066, -93.87025792054992)",13.609251,No,33.29912876189066,-93.87025792054992
"(45.42992330321752, -106.90621023244944)",43.056885,No,45.42992330321752,-106.90621023244944
"(42.61687171970519, -126.1991652625229)",105.171286,Yes,42.61687171970519,-126.1991652625229
"(31.0809993332798, -121.11762927924303)",225.513467,Yes,31.0809993332798,-121.11762927924303
"(34.37044486586109, -77.6431557661376)",16.613168,No,34.37044486586109,-77.6431557661376
"(41.552836662406406, -126.67828358681024)",128.225674,Yes,41.552836662406406,-126.67828358681024
"(34.92525856596565, -108.67717367315747)",40.167539,No,34.92525856596565,-108.67717367315747
"(45.307729239780976, -110.17145087984743)",48.20822,No,45.307729239780976,-110.17145087984743
"(36.4395917143143, -77.45281303335345)",10.799201,No,36.4395917143143,-77.45281303335345
"(29.17349585799409, -113.92292837530215)",231.658791,Yes,29.17349585799409,-113.92292837530215
"(37.87641808338086, -105.21507698644706)",39.935404,No,37.87641808338086,-105.21507698644706
"(40.07315957481549, -117.84707215605575)",34.37465,No,40.07315957481549,-117.84707215605575
"(32.700083893508236, -115.89051452958697)",19.541248,No,32.700083893508236,-115.89051452958697
"(41.519741098275034, -115.51248417108843)",49.377896,No,41.519741098275034,-115.51248417108843
"(40.57379535403365, -103.6300329726295)",21.692794,No,40.57379535403365,-103.6300329726295
"(41.99626874638916, -101.80367145589184)",80.705319,Yes,41.99626874638916,-101.80367145589184
"(37.44057065316471, -77.62499460598136)",2.582128,No,37.44057065316471,-77.62499460598136
"(31.796232436376712, -119.84157880833058)",138.114838,Yes,31.796232436376712,-119.84157880833058
"(35.25567229112011, -129.65824281974778)",428.14177,Yes,35.25567229112011,-129.65824281974778
"(39.33846023846849, -127.8524250869907)",215.130994,Yes,39.33846023846849,-127.8524250869907
"(45.83314398110067, -101.86553081465082)",51.070673,No,45.83314398110067,-101.86553081465082
"(46.57875572946796, -97.69305839945315)",42.971941,No,46.57875572946796,-97.69305839945315
"(31.917806320471573, -114.13086051361756)",60.414722,Yes,31.917806320471573,-114.13086051361756
"(43.732113179795206, -81.62937744597522)",57.166669,No,43.732113179795206,-81.62937744597522
"(46.86082489628794, -119.82340511400761)",32.20432,No,46.86082489628794,-119.82340511400761
"(35.50032090170031, -116.9596709847003)",41.232689,No,35.50032090170031,-116.9596709847003
"(43.28685375525655, -82.02032526513155)",29.274473,No,43.28685375525655,-82.02032526513155
"(36.046552145557534, -117.57108830127817)",28.542653,No,36.046552145557534,-117.57108830127817
"(32.43979615988794, -79.26886867236456)",41.969756,No,32.43979615988794,-79.26886867236456
"(29.612941223704098, -95.16656920610427)",1.956964,No,29.612941223704098,-95.16656920610427
"(39.0986353370101, -72.50851394620527)",104.304959,Yes,39.0986353370101,-72.50851394620527
"(30.71225866415213, -96.3248105242509)",4.066226,No,30.71225866415213,-96.3248105242509
"(40.472957928532054, -99.73735123541512)",35.89654,No,40.472957928532054,-99.73735123541512
"(36.2628448619199, -125.10066214204545)",167.986576,Yes,36.2628448619199,-125.10066214204545
"(40.33795110480794, -92.80770233460873)",15.259815,No,40.33795110480794,-92.80770233460873
"(27.386829520023397, -89.44810789762447)",151.930335,Yes,27.386829520023397,-89.44810789762447
"(27.515393489199546, -71.48138739298082)",530.69769,Yes,27.515393489199546,-71.48138739298082
"(30.54207715970996, -99.51641291534897)",16.037208,No,30.54207715970996,-99.51641291534897
"(27.812508169513155, -125.9076636572948)",570.660238,Yes,27.812508169513155,-125.9076636572948
"(32.05086197609919, -100.21021821006488)",16.321243,No,32.05086197609919,-100.21021821006488
"(40.09305665382677, -70.65390434192348)",86.589193,Yes,40.09305665382677,-70.65390434192348
"(36.35370577841915, -72.71643659365598)",164.722563,Yes,36.35370577841915,-72.71643659365598
"(41.23854818978554, -96.65553612260283)",17.040145,No,41.23854818978554,-96.65553612260283
"(28.537343838557508, -129.40621359303225)",674.877314,Yes,28.537343838557508,-129.40621359303225
"(37.18707099894088, -73.18769568832892)",136.35136,Yes,37.18707099894088,-73.18769568832892
"(45.84407305834475, -74.49541362753847)",65.841017,Yes,45.84407305834475,-74.49541362753847
"(38.71519330439679, -119.05723926604925)",19.478466,No,38.71519330439679,-119.05723926604925
"(40.28611513942041, -84.94395300431152)",20.962388,No,40.28611513942041,-84.94395300431152
"(27.439670349996224, -109.11446969578734)",269.948499,Yes,27.439670349996224,-109.11446969578734
"(30.96962715282673, -112.26285228608626)",81.318304,Yes,30.96962715282673,-112.26285228608626
"(38.22465429093556, -108.2428161031026)",26.878891,No,38.22465429093556,-108.2428161031026
"(31.474826306999226, -82.58786587532188)",16.527238,No,31.474826306999226,-82.58786587532188
"(40.299276572296876, -76.36451898773265)",3.748177,No,40.299276572296876,-76.36451898773265
"(35.265439630123, -85.83611213038981)",5.914657,No,35.265439630123,-85.83611213038981
"(34.62749968753181, -92.8168709444723)",13.678838,No,34.62749968753181,-92.8168709444723
"(40.064751994732575, -106.16303281532822)",12.598168,No,40.064751994732575,-106.16303281532822
"(35.68911908869386, -116.92283400713933)",42.238969,No,35.68911908869386,-116.92283400713933
"(33.155320757941595, -98.03100377836824)",9.433972,No,33.155320757941595,-98.03100377836824
"(41.67427484663073, -91.11649244516958)",16.931005,No,41.67427484663073,-91.11649244516958
"(40.44689581690513, -104.31973714513725)",20.623115,No,40.44689581690513,-104.31973714513725
"(31.55566938728481, -123.61774083799352)",281.193455,Yes,31.55566938728481,-123.61774083799352
"(42.691881370808844, -129.28267833957608)",259.269424,Yes,42.691881370808844,-129.28267833957608
"(32.332457171026725, -110.59496534593472)",16.888131,No,32.332457171026725,-110.59496534593472
"(30.450392168758533, -93.6374895736305)",12.000572,No,30.450392168758533,-93.6374895736305
"(36.77678141640364, -73.42083499651224)",135.423145,Yes,36.77678141640364,-73.42083499651224
"(41.106639726035226, -118.51179777657893)",42.044423,No,41.106639726035226,-118.51179777657893
"(29.81590753534948, -111.28680871259184)",106.803198,Yes,29.81590753534948,-111.28680871259184
"(28.09841135541047, -123.62210881193913)",478.916721,Yes,28.09841135541047,-123.62210881193913
"(33.99415317822196, -82.96768951838976)",9.790225,No,33.99415317822196,-82.96768951838976
"(30.136414348990986, -126.97630162711073)",491.908824,Yes,30.136414348990986,-126.97630162711073
"(34.74593128208229, -114.66617197584286)",6.613665,No,34.74593128208229,-114.66617197584286
"(45.26918542220612, -77.2572441348891)",94.911926,Yes,45.26918542220612,-77.2572441348891
"(38.67359861415357, -114.33133456284779)",73.161291,Yes,38.67359861415357,-114.33133456284779
"(30.7161764133279, -83.85958936809047)",10.070479,No,30.7161764133279,-83.85958936809047
"(27.474387222560534, -125.3295937167122)",572.252622,Yes,27.474387222560534,-125.3295937167122
"(29.179500050399106, -98.01685756221882)",9.666379,No,29.179500050399106,-98.01685756221882
"(37.84500011013202, -119.49264413014507)",32.183015,No,37.84500011013202,-119.49264413014507
"(38.169693463159724, -78.68409859490404)",13.898721,No,38.169693463159724,-78.68409859490404
"(45.80431332230232, -111.02017243156735)",9.268738,No,45.80431332230232,-111.02017243156735
"(36.894041210431496, -118.9823926716916)",32.676567,No,36.894041210431496,-118.9823926716916
"(31.586712576065697, -83.09122346365209)",9.491986,No,31.586712576065697,-83.09122346365209
"(37.26161738158923, -80.65367403170328)",14.332051,No,37.26161738158923,-80.65367403170328
"(38.00644939374045, -98.41024089876373)",10.677006,No,38.00644939374045,-98.41024089876373
"(28.646717864386673, -104.97431331976549)",200.071502,Yes,28.646717864386673,-104.97431331976549
"(32.460800517743486, -70.76307062299239)",367.052715,Yes,32.460800517743486,-70.76307062299239
"(32.87777295889289, -80.99846828046316)",5.59516,No,32.87777295889289,-80.99846828046316
"(28.05901661442697, -118.09143344782221)",319.857335,Yes,28.05901661442697,-118.09143344782221
"(45.553269221585495, -94.90651250438097)",30.674044,No,45.553269221585495,-94.90651250438097
"(35.80425616809024, -105.10269079185514)",13.870662,No,35.80425616809024,-105.10269079185514
"(41.72476776413656, -72.47697102550015)",4.655082,No,41.72476776413656,-72.47697102550015
"(35.073524219788276, -120.10191373661908)",19.561571,No,35.073524219788276,-120.10191373661908
"(32.6951739854876, -114.55030765179464)",5.03094,No,32.6951739854876,-114.55030765179464
"(33.25574424124456, -89.49182252377418)",23.182511,No,33.25574424124456,-89.49182252377418
"(31.72508475814019, -97.8786854666181)",13.919489,No,31.72508475814019,-97.8786854666181
"(32.80601461355278, -73.06170324274217)",250.393538,Yes,32.80601461355278,-73.06170324274217
"(33.517960161056976, -102.84757024237678)",27.88014,No,33.517960161056976,-102.84757024237678
"(30.627677520325896, -84.05683767153162)",14.514077,No,30.627677520325896,-84.05683767153162
"(34.04371132024596, -116.26712117955218)",6.095735,No,34.04371132024596,-116.26712117955218
"(42.5197190963564, -76.40021412264599)",7.83766,No,42.5197190963564,-76.40021412264599
"(31.62032460203763, -87.18311162427946)",11.712781,No,31.62032460203763,-87.18311162427946
"(27.592134286727465, -112.33018197309795)",271.037541,Yes,27.592134286727465,-112.33018197309795
"(33.25539219129968, -128.11449997837877)",419.94236,Yes,33.25539219129968,-128.11449997837877
"(36.151265659016815, -96.06139971376601)",3.456501,No,36.151265659016815,-96.06139971376601
"(43.826764943918015, -109.57719120433018)",63.449045,Yes,43.826764943918015,-109.57719120433018
"(33.5298030178412, -82.99837871021523)",20.137805,No,33.5298030178412,-82.99837871021523
"(40.34001302253649, -106.23611098026822)",24.535323,No,40.34001302253649,-106.23611098026822
"(31.39361048058661, -95.78723487809481)",21.150963,No,31.39361048058661,-95.78723487809481
"(36.10157033882446, -82.73946432124565)",5.716863,No,36.10157033882446,-82.73946432124565
"(32.53041913863457, -127.2914693869586)",414.534069,Yes,32.53041913863457,-127.2914693869586
"(35.85243952684752, -107.29765335697337)",48.477329,No,35.85243952684752,-107.29765335697337
"(44.596931267434655, -80.11631888061075)",113.363607,Yes,44.596931267434655,-80.11631888061075
"(44.225608520451146, -71.02087777419264)",12.694166,No,44.225608520451146,-71.02087777419264
"(45.342995706187075, -78.7473643429298)",141.863278,Yes,45.342995706187075,-78.7473643429298
"(40.107608535649746, -108.80530194100521)",45.350452,No,40.107608535649746,-108.80530194100521
"(35.49892685265845, -122.63073812554099)",84.611614,Yes,35.49892685265845,-122.63073812554099
"(45.620469223000434, -122.93623351975599)",6.301587,No,45.620469223000434,-122.93623351975599
"(42.50283996031857, -91.9506563625902)",19.895778,No,42.50283996031857,-91.9506563625902
"(41.55341263541669, -116.29455724933982)",58.323874,No,41.55341263541669,-116.29455724933982
"(39.4187903062683, -94.44712556417142)",7.757358,No,39.4187903062683,-94.44712556417142
"(29.73585977888916, -89.0240098981264)",43.864583,No,29.73585977888916,-89.0240098981264
"(29.516366566264985, -84.6453657900422)",25.34235,No,29.516366566264985,-84.6453657900422
"(28.841841289936795, -109.01817132147949)",175.089975,Yes,28.841841289936795,-109.01817132147949
"(42.217277771148844, -71.83250136849037)",3.755737,No,42.217277771148844,-71.83250136849037
"(40.426537024263524, -103.37538997792234)",15.198546,No,40.426537024263524,-103.37538997792234
"(45.84342809940273, -84.82364834579748)",33.271778,No,45.84342809940273,-84.82364834579748
"(30.061772401714098, -103.1931895697634)",61.034923,Yes,30.061772401714098,-103.1931895697634
"(33.9326950632658, -72.85985389787625)",208.914487,Yes,33.9326950632658,-72.85985389787625
"(28.42684511491634, -101.60384839314595)",72.529105,Yes,28.42684511491634,-101.60384839314595
"(33.20380281959165, -86.35724705588689)",6.48735,No,33.20380281959165,-86.35724705588689
"(46.699614456079146, -105.02575197890144)",161.079619,Yes,46.699614456079146,-105.02575197890144
"(46.54603279992517, -94.36494621483686)",14.811545,No,46.54603279992517,-94.36494621483686
"(41.06944844941377, -122.7304237072245)",25.354245,No,41.06944844941377,-122.7304237072245
"(29.50483753981383, -86.91424158523049)",60.71017,Yes,29.50483753981383,-86.91424158523049
"(36.42048561457451, -89.1347733813922)",5.023209,No,36.42048561457451,-89.1347733813922
"(33.994912594110446, -78.38419847817634)",7.506246,No,33.994912594110446,-78.38419847817634
"(26.651720567161515, -108.60382686632647)",328.006796,Yes,26.651720567161515,-108.60382686632647
"(28.33720856268464, -81.28848748963861)",2.872509,No,28.33720856268464,-81.28848748963861
"(45.86267298446976, -71.85056425226779)",68.576511,Yes,45.86267298446976,-71.85056425226779
"(36.1406934345102, -75.72823648328473)",15.169989,No,36.1406934345102,-75.72823648328473
"(46.52591893819111, -87.64575527796778)",2.360197,No,46.52591893819111,-87.64575527796778
"(35.353827561311846, -119.64411451020652)",30.028442,No,35.353827561311846,-119.64411451020652
"(43.17670175127793, -123.98995513188761)",18.811655,No,43.17670175127793,-123.98995513188761
"(34.101192599933945, -101.27557404009727)",27.199297,No,34.101192599933945,-101.27557404009727
"(43.10882770354572, -100.34969088647424)",86.366521,Yes,43.10882770354572,-100.34969088647424
"(30.30490938733349, -109.68759179495478)",71.676818,Yes,30.30490938733349,-109.68759179495478
"(28.795439175354936, -104.3477175338092)",169.944528,Yes,28.795439175354936,-104.3477175338092
"(34.41330759004158, -120.67576714587437)",20.510739,No,34.41330759004158,-120.67576714587437
"(32.1444103220781, -117.64303811047623)",46.675506,No,32.1444103220781,-117.64303811047623
"(44.593656166642326, -128.99201212394092)",247.152877,Yes,44.593656166642326,-128.99201212394092
"(34.940100010535986, -114.66437105273359)",7.844049,No,34.940100010535986,-114.66437105273359
"(39.33551833466267, -112.98658025112599)",61.74767,Yes,39.33551833466267,-112.98658025112599
"(40.191662868321565, -122.95291469613959)",37.709093,No,40.191662868321565,-122.95291469613959
"(37.22260646713663, -72.92305084989762)",147.040438,Yes,37.22260646713663,-72.92305084989762
"(36.416105285213966, -99.09308305529044)",17.183552,No,36.416105285213966,-99.09308305529044
"(46.528942680482345, -90.14564827621427)",3.811487,No,46.528942680482345,-90.14564827621427
"(34.66106584596048, -106.3916540141251)",29.235833,No,34.66106584596048,-106.3916540141251
"(30.65797335390884, -103.87870824468817)",55.584177,No,30.65797335390884,-103.87870824468817
"(32.835578578491564, -111.78308651348846)",5.250298,No,32.835578578491564,-111.78308651348846
"(33.04171853216856, -116.2098410696102)",38.518735,No,33.04171853216856,-116.2098410696102
"(38.035040435573165, -71.85729388362049)",166.531126,Yes,38.035040435573165,-71.85729388362049
"(33.34765743814086, -74.0828148637391)",180.374885,Yes,33.34765743814086,-74.0828148637391
"(33.04573639735703, -114.02895857076638)",43.238285,No,33.04573639735703,-114.02895857076638
"(34.866406170229254, -112.1403073667288)",11.011547,No,34.866406170229254,-112.1403073667288
"(40.47987586674286, -115.1572362434141)",38.341171,No,40.47987586674286,-115.1572362434141
"(36.75544194790626, -104.41596627882112)",69.869144,Yes,36.75544194790626,-104.41596627882112
"(38.11451795524358, -78.09731634733906)",19.958469,No,38.11451795524358,-78.09731634733906
"(46.598935184680116, -76.64138636304061)",142.117984,Yes,46.598935184680116,-76.64138636304061
"(38.74736306559194, -76.66933494391446)",11.154621,No,38.74736306559194,-76.66933494391446
"(40.543770588866, -117.45760204489156)",28.00208,No,40.543770588866,-117.45760204489156
"(27.267849080267858, -104.38073461038906)",257.333636,Yes,27.267849080267858,-104.38073461038906
"(34.17151781503392, -100.21609519725011)",18.465266,No,34.17151781503392,-100.21609519725011
"(41.4005392420318, -72.81730132125993)",9.022642,No,41.4005392420318,-72.81730132125993
"(34.72333912493274, -93.35414100486425)",22.407237,No,34.72333912493274,-93.35414100486425
"(43.731512637940654, -112.49273110248606)",30.928107,No,43.731512637940654,-112.49273110248606
"(42.18955461654723, -99.26188019300234)",93.593074,Yes,42.18955461654723,-99.26188019300234
"(46.77584212327915, -76.16502864608393)",140.770099,Yes,46.77584212327915,-76.16502864608393
"(33.54557269018878, -104.72971343398345)",14.309826,No,33.54557269018878,-104.72971343398345
