NAME,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE,GEOLOCATION
CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,71418,32.0600399510001,-92.099137669,"(32.0600399510001, -92.099137669)"
COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,33.8070928700001,-118.19338992899999,"(33.8070928700001, -118.19338992899999)"
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,37.706406198,-122.16465451799999,"(37.706406198, -122.16465451799999)"
ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,31.985430321,-81.15455636899999,"(31.985430321, -81.15455636899999)"
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,32.886297701,-84.33650698799991,"(32.886297701, -84.33650698799991)"
PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,32.0669623380001,-84.2560501999999,"(32.0669623380001, -84.2560501999999)"
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,30265,33.3848346460001,-84.757746692,"(33.3848346460001, -84.757746692)"
DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",CAROLINA,PR,984,18.380443000000103,-65.95579000000001,"(18.380443000000103, -65.95579000000001)"
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,53226,43.035812152000105,-88.037265823,"(43.035812152000105, -88.037265823)"
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,31.252191558000003,-92.481987814,"(31.252191558000003, -92.481987814)"
OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,29.7026714240001,-90.565253898,"(29.7026714240001, -90.565253898)"
FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,70748,30.832635688000003,-91.21066048799999,"(30.832635688000003, -91.21066048799999)"
VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,2908,41.832139084000104,-71.4331495449999,"(41.832139084000104, -71.4331495449999)"
ASCENSION GOOD SAMARITAN HLTH CTR,601 S CENTER AVE,MERRILL,WI,54452,45.175632537000105,-89.681831276,"(45.175632537000105, -89.681831276)"
KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,ONTARIO,CA,91761,34.0320795600001,-117.60859933,"(34.0320795600001, -117.60859933)"
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,LOMA LINDA,CA,92354,34.047305635,-117.251636776,"(34.047305635, -117.251636776)"
ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,CA,92404,34.134672357000106,-117.277019975,"(34.134672357000106, -117.277019975)"
KAISER FND HOSP - SAN DIEGO,4647 ZION AVENUE,SAN DIEGO,CA,92120,32.7915625750001,-117.095159549,"(32.7915625750001, -117.095159549)"
SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,32.896858901,-117.24287107,"(32.896858901, -117.24287107)"
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,33.0373447760001,-117.284183383,"(33.0373447760001, -117.284183383)"
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,32.754770233,-117.165731384,"(32.754770233, -117.165731384)"
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,SAN FRANCISCO,CA,94118,37.786509197,-122.456030633,"(37.786509197, -122.456030633)"
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,37.7907045380001,-122.431294533,"(37.7907045380001, -122.431294533)"
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,SAN FRANCISCO,CA,94117,37.77408876,-122.45375164200001,"(37.77408876, -122.45375164200001)"
KAISER FND HOSP - SANTA ROSA,401 BICENTENNIAL WAY,SANTA ROSA,CA,95403,38.471793006,-122.72706436,"(38.471793006, -122.72706436)"
KAISER FND HOSP - REHABILITATION CENTER VALLEJO,975 SERENO DRIVE,VALLEJO,CA,94590,38.12690208,-122.248377304,"(38.12690208, -122.248377304)"
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,38.663925024,-121.792145249,"(38.663925024, -121.792145249)"
ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,3100 SUMMIT STREET,OAKLAND,CA,94609,37.8201396110001,-122.26400415,"(37.8201396110001, -122.26400415)"
SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,CA,94578,37.712288347,-122.143493689,"(37.712288347, -122.143493689)"
ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,CA,94545,37.633441993000105,-122.087912534,"(37.633441993000105, -122.087912534)"
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,STOCKTON,CA,95204,37.970467188,-121.288182762,"(37.970467188, -121.288182762)"
FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,CA,91741,34.132654576,-117.871259716,"(34.132654576, -117.871259716)"
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,GLENDALE,CA,91204,34.128165628000005,-118.256643169,"(34.128165628000005, -118.256643169)"
KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,4867 SUNSET BOULEVARD,LOS ANGELES,CA,90027,34.0985736490001,-118.294175331,"(34.0985736490001, -118.294175331)"
KAISER PERMANENTE PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,CA,91402,34.2185641940001,-118.430219294,"(34.2185641940001, -118.430219294)"
PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,34.170393216,-118.531904059,"(34.170393216, -118.531904059)"
SHRINERS HOSPITAL FOR CHILDREN - L.A.,3160 GENEVA STREET,LOS ANGELES,CA,90020,34.067204777,-118.286392079,"(34.067204777, -118.286392079)"
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,CA,90716,33.833640007,-118.07967795100001,"(33.833640007, -118.07967795100001)"
ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,38.935618855,-122.62014453200001,"(38.935618855, -122.62014453200001)"
EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270,33.7633520680001,-116.406241091,"(33.7633520680001, -116.406241091)"
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,37.252078736,-121.946576875,"(37.252078736, -121.946576875)"
KAISER FND HOSP - SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,37.3354013750001,-121.998873047,"(37.3354013750001, -121.998873047)"
LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,725 WELCH ROAD,PALO ALTO,CA,94304,37.436004575,-122.17539003600001,"(37.436004575, -122.17539003600001)"
KAISER FND HOSP - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,37.488847836,-122.223390131,"(37.488847836, -122.223390131)"
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,CONCORD,CA,94520,37.9830895790001,-122.03349679600001,"(37.9830895790001, -122.03349679600001)"
SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,CA,94509,37.9822344500001,-121.802978505,"(37.9822344500001, -121.802978505)"
KAISER FND HOSP - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,CA,95825,38.601797751,-121.393144026,"(38.601797751, -121.393144026)"
SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,95945,39.228016294,-121.04749977899999,"(39.228016294, -121.04749977899999)"
LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,LA PALMA,CA,90623,33.8475141810001,-118.038302332,"(33.8475141810001, -118.038302332)"
FREMONT MEDICAL CENTER,970 PLUMAS STREET,YUBA CITY,CA,95991,39.143106319,-121.618012022,"(39.143106319, -121.618012022)"
PIEDMONT MOUNTAINSIDE HOSPITAL,1266 EAST CHURCH STREET,JASPER,GA,30143,34.4582486800001,-84.412912891,"(34.4582486800001, -84.412912891)"
ST MARYS HEALTH CARE SYSTEM,1230 BAXTER STREET,ATHENS,GA,30606,33.9472213170001,-83.40525245899991,"(33.9472213170001, -83.40525245899991)"
WESTERLY HOSPITAL,25 WELLS ST,WESTERLY,RI,2891,41.3621890750001,-71.825303241,"(41.3621890750001, -71.825303241)"
ST MARYS HOSPITAL MADISON,700 SOUTH PARK ST,MADISON,WI,53715,43.0593384640001,-89.401429215,"(43.0593384640001, -89.401429215)"
COLUMBIA CENTER,13125 N PORT WASHINGTON RD,MEQUON,WI,53097,43.256677929,-87.926157962,"(43.256677929, -87.926157962)"
THEDACARE MEDICAL CENTER BERLIN,225 MEMORIAL DRIVE,BERLIN,WI,54923,43.9784771540001,-88.94122636,"(43.9784771540001, -88.94122636)"
MERCY HOSPITAL ROGERS,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,36.3089928530001,-94.18297802,"(36.3089928530001, -94.18297802)"
ST CROIX REG MED CTR,235 STATE STREET,SAINT CROIX FALLS,WI,54024,45.4090324310001,-92.64257811700001,"(45.4090324310001, -92.64257811700001)"
WESTFIELDS HOSPITAL,535 HOSPITAL RD,NEW RICHMOND,WI,54017,45.117760748000094,-92.55550037799999,"(45.117760748000094, -92.55550037799999)"
ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,SHEBOYGAN,WI,53081,43.7623479010001,-87.747537955,"(43.7623479010001, -87.747537955)"
VERNON MEM HSPTL,507 SOUTH MAIN ST,VIROQUA,WI,54665,43.551673973,-90.88839127799999,"(43.551673973, -90.88839127799999)"
PIH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,DOWNEY,CA,90241,33.9343517980001,-118.13090396,"(33.9343517980001, -118.13090396)"
PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,4320 MARICOPA STREET,TORRANCE,CA,90503,33.839348116000096,-118.35972151899999,"(33.839348116000096, -118.35972151899999)"
ASCENSION NE WISCONSIN MERCY CAMPUS,500 S OAKWOOD RD,OSHKOSH,WI,54904,44.012420717000104,-88.60104549299999,"(44.012420717000104, -88.60104549299999)"
MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,"3800 RESERVOIR ROAD, NW",WASHINGTON,DC,20007,38.911958508000104,-77.07525457299991,"(38.911958508000104, -77.07525457299991)"
ADVENT HEALTH DADE CITY,13100 FORT KING RD,DADE CITY,FL,33525,28.3479628600001,-82.20072007999991,"(28.3479628600001, -82.20072007999991)"
DELRAY MEDICAL CENTER,5352 LINTON BLVD,DELRAY BEACH,FL,33484,26.437192841000098,-80.127787747,"(26.437192841000098, -80.127787747)"
POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,KISSIMMEE,FL,34758,28.144780763000004,-81.476687855,"(28.144780763000004, -81.476687855)"
ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,1670 ST. VINCENT'S WAY,MIDDLEBURG,FL,32068,30.108762428000002,-81.832688692,"(30.108762428000002, -81.832688692)"
T J HEALTH COLUMBIA,901 WESTLAKE DRIVE,COLUMBIA,KY,42728,37.0966415730001,-85.29454565,"(37.0966415730001, -85.29454565)"
DECATUR COUNTY HOSPITAL,1405 NORTHWEST CHURCH STREET,LEON,IA,50144,40.750934665,-93.746940772,"(40.750934665, -93.746940772)"
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,NEEDHAM,MA,2492,42.2771000000001,-71.2368999999999,"(42.2771000000001, -71.2368999999999)"
NORWOOD HOSPITAL,800 WASHINGTON ROAD,NORWOOD,MA,2062,42.1890000000001,-71.2021,"(42.1890000000001, -71.2021)"
CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,230 HIGHLAND AVENUE,SOMERVILLE,MA,2143,42.39,-71.10939999999991,"(42.39, -71.10939999999991)"
MERCY HOSPITAL FORT SMITH,7301 ROGERS AVENUE,FORT SMITH,AR,72903,35.355865991,-94.352054967,"(35.355865991, -94.352054967)"
WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,1200 SOUTH MAIN STREET,SEARCY,AR,72143,35.2340944110001,-91.731074311,"(35.2340944110001, -91.731074311)"
WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,3214 EAST RACE AVENUE,SEARCY,AR,72143,35.2518860440001,-91.69700113100001,"(35.2518860440001, -91.69700113100001)"
FIVE RIVER MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,36.289760273000105,-90.99738763,"(36.289760273000105, -90.99738763)"
OUACHITA CO. MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,33.5758211300001,-92.8367393299999,"(33.5758211300001, -92.8367393299999)"
NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH WILLOW,HARRISON,AR,72601,36.2365313550001,-93.1091393739999,"(36.2365313550001, -93.1091393739999)"
UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET,LITTLE ROCK,AR,72205,34.7490251460001,-92.320137314,"(34.7490251460001, -92.320137314)"
BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,LITTLE ROCK,AR,72117,34.783654887000104,-92.223409163,"(34.783654887000104, -92.223409163)"
LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,300 PROSPECT AVENUE,HOT SPRINGS,AR,71901,34.509897065000104,-93.057577489,"(34.509897065000104, -93.057577489)"
CHI ST VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,71913,34.46802567,-93.066270414,"(34.46802567, -93.066270414)"
BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,1001 SCHNEIDER DRIVE,MALVERN,AR,72104,34.358774038,-92.78588840100001,"(34.358774038, -92.78588840100001)"
ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,7500 CORRECTIONS CIRCLE,PINE BLUFF,AR,71603,34.2221914250001,-92.082686048,"(34.2221914250001, -92.082686048)"
JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,34.1877346910001,-92.017680195,"(34.1877346910001, -92.017680195)"
"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,SAVANNAH,GA,31404,32.030530877,-81.088862423,"(32.030530877, -81.088862423)"
ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL,1506 S ONEIDA ST,APPLETON,WI,54915,44.2482512390001,-88.402509675,"(44.2482512390001, -88.402509675)"
MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR,71953,34.589053600999996,-94.22163124299999,"(34.589053600999996, -94.22163124299999)"
CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,WYNNE,AR,72396,35.219557916999996,-90.78664053599991,"(35.219557916999996, -90.78664053599991)"
SANTA CRUZ VALLEY HOSPITAL,4455 SOUTH I-19 FRONTAGE RD,GREEN VALLEY,AZ,85622,31.806571113000103,-111.01001850799999,"(31.806571113000103, -111.01001850799999)"
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD,STUTTGART,AR,72160,34.5175108030001,-91.55829954200001,"(34.5175108030001, -91.55829954200001)"
HIGHLANDS REGIONAL MEDICAL CENTER,5000 KENTUCKY ROUTE 321,PRESTONSBURG,KY,41653,37.729010056,-82.767320076,"(37.729010056, -82.767320076)"
SAINTS MARY & ELIZABETH HOSPITAL,1850 BLUEGRASS AVENUE,LOUISVILLE,KY,40215,38.178264384,-85.793916414,"(38.178264384, -85.793916414)"
BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,LAGRANGE,KY,40031,38.394890194,-85.37606515399992,"(38.394890194, -85.37606515399992)"
AMESBURY HEALTH CENTER,24 MORRILL PLACE,AMESBURY,MA,1913,42.8484143950001,-70.933380246,"(42.8484143950001, -70.933380246)"
BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,ONE DEACONESS RD,BOSTON,MA,2215,42.3379,-71.1092,"(42.3379, -71.1092)"
BEVERLY HOSPITAL ADDISON GILBERT CAMPUS,298 WASHINGTON STREET,GLOUCESTER,MA,1930,42.6255,-70.6806,"(42.6255, -70.6806)"
NORTHERN LIGHT INLAND HOSPITAL,200 KENNEDY MEMORIAL DRIVE,WATERVILLE,ME,4901,44.541826482,-69.661491065,"(44.541826482, -69.661491065)"
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,620 BYRON RD,HOWELL,MI,48843,42.6155875640001,-83.940990396,"(42.6155875640001, -83.940990396)"
HILLSDALE COMMUNITY HEALTH CENTER,168 S HOWELL STREET,HILLSDALE,MI,49242,41.9117386880001,-84.633003534,"(41.9117386880001, -84.633003534)"
DMC SURGERY HOSPITAL,30671 STEPHENSON HIGHWAY,MADISON HEIGHTS,MI,48071,42.517887537,-83.120107267,"(42.517887537, -83.120107267)"
"LAKELAND COMMUNITY HOSPITAL, WATERVLIET",400 MEDICAL PARK DR,WATERVLIET,MI,49098,42.1848804640001,-86.24992582700001,"(42.1848804640001, -86.24992582700001)"
MCLAREN CENTRAL MICHIGAN,1221 SOUTH DRIVE,MOUNT PLEASANT,MI,48858,43.5991224840001,-84.76141286099991,"(43.5991224840001, -84.76141286099991)"
SPECTRUM HEALTH LUDINGTON HOSPITAL,1 N ATKINSON DRIVE,LUDINGTON,MI,49431,43.95814794100001,-86.430409384,"(43.95814794100001, -86.430409384)"
BRONSON LAKEVIEW HOSPITAL,408 HAZEN STREET,PAW PAW,MI,49079,42.221294361,-85.89707006100001,"(42.221294361, -85.89707006100001)"
DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,DECKERVILLE,MI,48427,43.528119210000106,-82.734249152,"(43.528119210000106, -82.734249152)"
HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,42.3676867830001,-83.08472312,"(42.3676867830001, -83.08472312)"
MAYO CLINIC HEALTH SYS ALBT LE,404 WEST FOUNTAIN STREET,ALBERT LEA,MN,56007,43.652360697000105,-93.372752304,"(43.652360697000105, -93.372752304)"
MAYO CLINIC HEALTH SYS FAIRMNT,"800 MEDICAL CTR DRIVE, PO 800",FAIRMONT,MN,56031,43.6388014610001,-94.45043699899999,"(43.6388014610001, -94.45043699899999)"
HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,800 HOSPITAL DR,COLUMBIA,MO,65201,38.9366672620001,-92.3290578519999,"(38.9366672620001, -92.3290578519999)"
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,ANDERSON,IN,46011,40.130645588,-85.693209184,"(40.130645588, -85.693209184)"
MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,SOUTH BEND,IN,46601,41.684055285999996,-86.25157885,"(41.684055285999996, -86.25157885)"
DESERT SPRINGS HOSPITAL MEDICAL CENTER,2075 EAST FLAMINGO ROAD,LAS VEGAS,NV,89119,36.113959578,-115.124505177,"(36.113959578, -115.124505177)"
EASTERN REGIONAL MEDICAL CENTER,1331 EAST WYOMING AVENUE,PHILADELPHIA,PA,19124,40.018812978,-75.099464048,"(40.018812978, -75.099464048)"
THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,PHILADELPHIA,PA,19107,39.9497083750001,-75.157946045,"(39.9497083750001, -75.157946045)"
PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,PHILADELPHIA,PA,19104,39.9588724830001,-75.199263683,"(39.9588724830001, -75.199263683)"
GEISINGER MEDICAL CENTER,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,40.968144964000004,-76.6052561079999,"(40.968144964000004, -76.6052561079999)"
NORTHSIDE HOSPITAL - CHEROKEE,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,GA,30115,34.2292380000001,-84.466259,"(34.2292380000001, -84.466259)"
"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",260 MJ TAYLOR ROAD,ADEL,GA,31620,31.108198934,-83.427372852,"(31.108198934, -83.427372852)"
NORTHERN MONTANA HOSPITAL,30 13TH ST,HAVRE,MT,59501,48.538077306000005,-109.685817755,"(48.538077306000005, -109.685817755)"
MUSC MEDICAL CENTER,169 ASHLEY AVE,CHARLESTON,SC,29425,32.785882041,-79.947921358,"(32.785882041, -79.947921358)"
UH PORTAGE - ROBINSON MEMORIAL HOSPITAL,6847 N CHESTNUT,RAVENNA,OH,44266,41.1760577540001,-81.24901729899992,"(41.1760577540001, -81.24901729899992)"
ASCENSION SE WISCONSIN HOSPITAL - ELMBROOK CAMPUS,19333 W NORTH AVE,BROOKFIELD,WI,53045,43.0593758960001,-88.1545194289999,"(43.0593758960001, -88.1545194289999)"
ASCENSION SE WISCONSIN HOSPITAL - FRANKLIN CAMPUS,10101 SOUTH 27TH STREET,FRANKLIN,WI,53132,42.86001258,-87.954068104,"(42.86001258, -87.954068104)"
ASCENSION SE WISCONSIN HOSPITAL ST JOSEPH,5000 W CHAMBERS ST,MILWAUKEE,WI,53210,43.074120253000004,-87.97607340399999,"(43.074120253000004, -87.97607340399999)"
ASCENSION ST CLARES HOSPITAL,3400 MINISTRY PARKWAY,WESTON,WI,54476,44.890182311000004,-89.580145988,"(44.890182311000004, -89.580145988)"
ASCENSION ST FRANCIS HOSPITAL,3237 S 16TH ST,MILWAUKEE,WI,53215,42.985657749,-87.93465729199991,"(42.985657749, -87.93465729199991)"
ASCENSION ST MARYS HOSPITAL,2251 NORTH SHORE DR,RHINELANDER,WI,54501,45.639470413000005,-89.374826589,"(45.639470413000005, -89.374826589)"
MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,39.744893204,-84.185908608,"(39.744893204, -84.185908608)"
ASCENSION ST MICHAELS HOSPITAL,900 ILLINOIS AVE,STEVENS POINT,WI,54481,44.526431841000004,-89.5670962149999,"(44.526431841000004, -89.5670962149999)"
ASPIRUS RIVERVIEW HSPTL ASSOC,410 DEWEY STREET,WISCONSIN RAPIDS,WI,54495,44.38175803000011,-89.829889438,"(44.38175803000011, -89.829889438)"
ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,44.9658418510001,-89.66789021299999,"(44.9658418510001, -89.66789021299999)"
AURORA LAKELAND MED CTR,W3985 CTY RD NN,ELKHORN,WI,53121,42.66189502700011,-88.496191993,"(42.66189502700011, -88.496191993)"
AURORA MED CENTER-WASHINGTON COUNTY,1032 E SUMNER ST,HARTFORD,WI,53027,43.3184058430001,-88.36246156200001,"(43.3184058430001, -88.36246156200001)"
AURORA MED CTR KENOSHA,10400 75TH ST,KENOSHA,WI,53142,42.5693968150001,-87.93546502299989,"(42.5693968150001, -87.93546502299989)"
AURORA MED CTR MANITOWOC CTY,5000 MEMORIAL DR,TWO RIVERS,WI,54241,44.125367829,-87.61945613299999,"(44.125367829, -87.61945613299999)"
MHP MEDICAL CENTER,2451 INTELLIPLEX DRIVE,SHELBYVILLE,IN,46176,39.5603560000001,-85.78581700000001,"(39.5603560000001, -85.78581700000001)"
PARKVIEW WABASH HOSPITAL,10 JOHN KISSINGER DRIVE,WABASH,IN,46992,40.8209370000001,-85.823901,"(40.8209370000001, -85.823901)"
PERRY COUNTY MEMORIAL HOSPITAL,8885 SR 237,TELL CITY,IN,47586,37.9679310000001,-86.731667,"(37.9679310000001, -86.731667)"
ST JOSEPH HEALTH CENTER,667 EASTLAND AVE SE,WARREN,OH,44481,41.2309117450001,-80.777155281,"(41.2309117450001, -80.777155281)"
