FID,NAME,CITY,STATE,COUNTY,LATITUDE,LONGITUDE,TYPE
51,ASCENSION GOOD SAMARITAN HLTH CTR,MERRILL,WI,LINCOLN,45.17563254,-89.68183128,GENERAL ACUTE CARE
52,RESTPADD PSYCHIATRIC HEALTH FACILITY,REDDING,CA,SHASTA,40.58659539,-122.4119741,PSYCHIATRIC
53,THE CHAMPION CENTER,LOMPOC,CA,SANTA BARBARA,34.63537161,-120.45218829999999,REHABILITATION
54,STEWART WEBSTER HOSPITAL,RICHLAND,GA,STEWART,32.08616827,-84.66069977,CRITICAL ACCESS
55,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,ONTARIO,CA,SAN BERNARDINO,34.03207956,-117.60859930000001,GENERAL ACUTE CARE
56,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,LOMA LINDA,CA,SAN BERNARDINO,34.04730564,-117.2516368,GENERAL ACUTE CARE
57,ST. BERNARDINE MEDICAL CENTER,SAN BERNARDINO,CA,SAN BERNARDINO,34.13467236,-117.27702,GENERAL ACUTE CARE
58,KAISER FND HOSP - SAN DIEGO,SAN DIEGO,CA,SAN DIEGO,32.79156258,-117.0951595,GENERAL ACUTE CARE
59,SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,SAN DIEGO,32.8968589,-117.24287109999999,GENERAL ACUTE CARE
60,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,ENCINITAS,CA,SAN DIEGO,33.03734478,-117.2841834,GENERAL ACUTE CARE
61,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,SAN DIEGO,CA,SAN DIEGO,32.79829578,-117.1549778,WOMEN
62,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,SAN DIEGO,CA,SAN DIEGO,32.75477023,-117.1657314,GENERAL ACUTE CARE
63,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,SAN FRANCISCO,CA,SAN FRANCISCO,37.7865092,-122.45603059999999,GENERAL ACUTE CARE
64,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,CA,SAN FRANCISCO,37.79070454,-122.4312945,GENERAL ACUTE CARE
65,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",SAN FRANCISCO,CA,SAN FRANCISCO,37.77408876,-122.45375159999999,GENERAL ACUTE CARE
66,KAISER FND HOSP - SANTA ROSA,SANTA ROSA,CA,SONOMA,38.47179301,-122.7270644,GENERAL ACUTE CARE
67,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,VALLEJO,CA,SOLANO,38.12690208,-122.2483773,GENERAL ACUTE CARE
68,WOODLAND MEMORIAL HOSPITAL,WOODLAND,CA,YOLO,38.66392502,-121.79214520000001,GENERAL ACUTE CARE
69,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,OAKLAND,CA,ALAMEDA,37.82013961,-122.26400420000002,GENERAL ACUTE CARE
70,SAN LEANDRO HOSPITAL,SAN LEANDRO,CA,ALAMEDA,37.71228835,-122.1434937,GENERAL ACUTE CARE
71,ST. ROSE HOSPITAL,HAYWARD,CA,ALAMEDA,37.63344199,-122.0879125,GENERAL ACUTE CARE
72,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,STOCKTON,CA,SAN JOAQUIN,37.9765963,-121.29107090000001,PSYCHIATRIC
73,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,STOCKTON,CA,SAN JOAQUIN,37.97046719,-121.2881828,GENERAL ACUTE CARE
74,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,GLENDORA,CA,LOS ANGELES,34.13265458,-117.87125970000001,GENERAL ACUTE CARE
75,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GLENDALE,CA,LOS ANGELES,34.12816563,-118.2566432,GENERAL ACUTE CARE
76,KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,LOS ANGELES,CA,LOS ANGELES,34.09857365,-118.2941753,GENERAL ACUTE CARE
77,KAISER PERMANENTE PANORAMA CITY,PANORAMA CITY,CA,LOS ANGELES,34.21856419,-118.43021929999999,GENERAL ACUTE CARE
78,PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,CA,LOS ANGELES,34.17039322,-118.53190409999999,GENERAL ACUTE CARE
79,SHRINERS HOSPITAL FOR CHILDREN - L.A.,LOS ANGELES,CA,LOS ANGELES,34.06720478,-118.28639209999999,GENERAL ACUTE CARE
80,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,HAWAIIAN GARDENS,CA,LOS ANGELES,33.83364001,-118.079678,GENERAL ACUTE CARE
81,ADVENTIST HEALTH CLEARLAKE,CLEARLAKE,CA,LAKE,38.93561886,-122.62014450000001,GENERAL ACUTE CARE
82,VALLEY CHILDREN'S HOSPITAL,MADERA,CA,MADERA,36.88404783,-119.80024240000002,CHILDREN
83,EISENHOWER MEDICAL CENTER,RANCHO MIRAGE,CA,RIVERSIDE,33.76335207,-116.40624109999999,GENERAL ACUTE CARE
84,GOOD SAMARITAN HOSPITAL-SAN JOSE,SAN JOSE,CA,SANTA CLARA,37.25207874,-121.94657690000001,GENERAL ACUTE CARE
85,KAISER FND HOSP - SANTA CLARA,SANTA CLARA,CA,SANTA CLARA,37.33540138,-121.998873,GENERAL ACUTE CARE
86,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,PALO ALTO,CA,SANTA CLARA,37.43600458,-122.17539,GENERAL ACUTE CARE
87,KAISER FND HOSP - REDWOOD CITY,REDWOOD CITY,CA,SAN MATEO,37.48884784,-122.22339009999999,GENERAL ACUTE CARE
88,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONCORD,CA,CONTRA COSTA,37.98308958,-122.0334968,GENERAL ACUTE CARE
89,SUTTER DELTA MEDICAL CENTER,ANTIOCH,CA,CONTRA COSTA,37.98223445,-121.8029785,GENERAL ACUTE CARE
90,KAISER FND HOSP - SACRAMENTO,SACRAMENTO,CA,SACRAMENTO,38.60179775,-121.39314399999999,GENERAL ACUTE CARE
91,SIERRA NEVADA MEMORIAL HOSPITAL,GRASS VALLEY,CA,NEVADA,39.22801629,-121.0474998,GENERAL ACUTE CARE
92,LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA,CA,ORANGE,33.84751418,-118.0383023,GENERAL ACUTE CARE
93,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,SAN CLEMENTE,CA,ORANGE,33.45706524,-117.65018390000002,GENERAL ACUTE CARE
94,FREMONT MEDICAL CENTER,YUBA CITY,CA,SUTTER,39.14310632,-121.61801200000001,GENERAL ACUTE CARE
95,PIEDMONT MOUNTAINSIDE HOSPITAL,JASPER,GA,PICKENS,34.45824868,-84.41291289,GENERAL ACUTE CARE
96,ST MARYS HEALTH CARE SYSTEM,ATHENS,GA,CLARKE,33.94722132,-83.40525246,GENERAL ACUTE CARE
97,RIDGEVIEW INSTITUTE,SMYRNA,GA,COBB,33.85644329,-84.51105483,PSYCHIATRIC
98,WESTERLY HOSPITAL,WESTERLY,RI,WASHINGTON,41.36218908,-71.82530324,GENERAL ACUTE CARE
99,ST MARYS HOSPITAL MADISON,MADISON,WI,DANE,43.05933846,-89.40142922,GENERAL ACUTE CARE
100,AURORA PSYCHIATRIC HSPTL,WAUWATOSA,WI,MILWAUKEE,43.0467651,-88.00771643,PSYCHIATRIC
101,COLUMBIA CENTER,MEQUON,WI,OZAUKEE,43.25667793,-87.92615796,GENERAL ACUTE CARE
102,THEDACARE MEDICAL CENTER BERLIN,BERLIN,WI,GREEN LAKE,43.97847715,-88.94122636,GENERAL ACUTE CARE
103,MERCY HOSPITAL ROGERS,ROGERS,AR,BENTON,36.30899285,-94.18297802,GENERAL ACUTE CARE
104,ST CROIX REG MED CTR,SAINT CROIX FALLS,WI,POLK,45.40903243,-92.64257812,GENERAL ACUTE CARE
105,WESTFIELDS HOSPITAL,NEW RICHMOND,WI,ST. CROIX,45.11776075,-92.55550038,GENERAL ACUTE CARE
106,ST NICHOLAS HOSPITAL,SHEBOYGAN,WI,SHEBOYGAN,43.7623479,-87.74753796,GENERAL ACUTE CARE
107,VERNON MEM HSPTL,VIROQUA,WI,VERNON,43.55167397,-90.88839128,GENERAL ACUTE CARE
108,PIH HOSPITAL - DOWNEY,DOWNEY,CA,LOS ANGELES,33.9343518,-118.130904,GENERAL ACUTE CARE
109,PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,TORRANCE,CA,LOS ANGELES,33.83934812,-118.3597215,GENERAL ACUTE CARE
110,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LOMA LINDA,CA,SAN BERNARDINO,34.05013083,-117.26409450000001,CHILDREN
111,ASCENSION NE WISCONSIN MERCY CAMPUS,OSHKOSH,WI,WINNEBAGO,44.01242072,-88.60104549,GENERAL ACUTE CARE
112,MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,WASHINGTON,DC,DISTRICT OF COLUMBIA,38.91195851,-77.07525457,GENERAL ACUTE CARE
113,ADVENT HEALTH DADE CITY,DADE CITY,FL,PASCO,28.34796286,-82.20072008,GENERAL ACUTE CARE
114,DELRAY MEDICAL CENTER,DELRAY BEACH,FL,PALM BEACH,26.43719284,-80.12778775,GENERAL ACUTE CARE
115,POINCIANA MEDICAL CENTER,KISSIMMEE,FL,OSCEOLA,28.14478076,-81.47668786,GENERAL ACUTE CARE
116,ARBOUR FULLER HOSPITAL,ATTLEBORO,MA,BRISTOL,41.92408385,-71.36112256,PSYCHIATRIC
117,ARBOUR HUMAN RESOURCE INSTITUTE,BROOKLINE,MA,NORFOLK,42.35077951,-71.12124228,PSYCHIATRIC
118,ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,MIDDLEBURG,FL,CLAY,30.10876243,-81.83268869,GENERAL ACUTE CARE
119,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,OCALA,FL,MARION,29.16587554,-82.16233494,REHABILITATION
120,"NATCHAUG HOSPITAL, INC.",MANSFIELD CENTER,CT,TOLLAND,41.74110392,-72.19801148,PSYCHIATRIC
121,ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH,STUART,FL,MARTIN,27.13343729,-80.22245582,REHABILITATION
122,SHRINERS' HOSPITAL FOR CHILDREN,BOSTON,MA,SUFFOLK,42.36309255,-71.06630188,CHILDREN
123,SPAULDING REHABILITATION HOSPITAL,BOSTON,MA,SUFFOLK,42.37850908,-71.04905555,REHABILITATION
124,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,FALL RIVER,MA,BRISTOL,41.70748691,-71.14571447,PSYCHIATRIC
125,BAY RIDGE HOSPITAL BEVERLY,LYNN,MA,ESSEX,42.47162011,-70.95676093,PSYCHIATRIC
126,ENCOMPASS HEALTH HOSPITAL OF WESTERN MASS,LUDLOW,MA,HAMPDEN,42.15577594,-72.47207734,REHABILITATION
127,T J HEALTH COLUMBIA,COLUMBIA,KY,ADAIR,37.09664157,-85.29454565,GENERAL ACUTE CARE
128,DECATUR COUNTY HOSPITAL,LEON,IA,DECATUR,40.75093467,-93.74694077,GENERAL ACUTE CARE
129,ANDERSON COUNTY HOSPITAL,GARNETT,KS,ANDERSON,38.279877,-95.25033865,CRITICAL ACCESS
130,KEARNY COUNTY HOSPITAL,LAKIN,KS,KEARNY,37.94659327,-101.25192990000001,CRITICAL ACCESS
131,OTTAWA COUNTY HEALTH CENTER,MINNEAPOLIS,KS,OTTAWA,39.12933196,-97.70394425,CRITICAL ACCESS
132,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,NORFOLK,42.2771,-71.2369,GENERAL ACUTE CARE
133,VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS,NEW BEDFORD,MA,BRISTOL,41.74072523,-70.94575361,REHABILITATION
134,NORWOOD HOSPITAL,NORWOOD,MA,NORFOLK,42.18899999999999,-71.2021,GENERAL ACUTE CARE
135,SPAULDING REHABILITATION HOSPITAL CAPE COD,SANDWICH,MA,BARNSTABLE,41.7329845,-70.46810284,REHABILITATION
136,CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,SOMERVILLE,MA,MIDDLESEX,42.39,-71.1094,GENERAL ACUTE CARE
137,SHRINERS' HOSPITAL FOR CHILDREN,SPRINGFIELD,MA,HAMPDEN,42.12131503,-72.59237295,CHILDREN
138,MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,SEBASTIAN,35.35586599,-94.35205497,GENERAL ACUTE CARE
139,HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,FORT SMITH,AR,SEBASTIAN,35.37394031,-94.41875448,REHABILITATION
140,WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,SEARCY,AR,WHITE,35.23409441,-91.73107431,GENERAL ACUTE CARE
141,WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,SEARCY,AR,WHITE,35.25188604,-91.69700113,GENERAL ACUTE CARE
142,RIVER VALLEY MEDICAL CENTER,DARDANELLE,AR,YELL,35.22047614,-93.15729817,CRITICAL ACCESS
143,BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,ARKADELPHIA,AR,CLARK,34.12291357,-93.08882416,CRITICAL ACCESS
144,MERCY HOSPITAL BERRYVILLE,BERRYVILLE,AR,CARROLL,36.3590621,-93.55182577,CRITICAL ACCESS
145,EUREKA SPRINGS HOSPITAL,EUREKA SPRINGS,AR,CARROLL,36.40016379,-93.74423592,CRITICAL ACCESS
146,SOUTHEAST REHABILITATION HOSPITAL,LAKE VILLAGE,AR,CHICOT,33.30629397,-91.28958992,REHABILITATION
147,BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,BRADLEY,33.61036413,-92.05925489,CRITICAL ACCESS
148,FIVE RIVER MEDICAL CENTER,POCAHONTAS,AR,RANDOLPH,36.28976027,-90.99738763,GENERAL ACUTE CARE
149,DALLAS COUNTY MEDICAL CENTER,FORDYCE,AR,DALLAS,33.81085539,-92.42558764,CRITICAL ACCESS
150,CRITTENDEN HOSPITAL ASSOCIATION,WEST MEMPHIS,AR,CRITTENDEN,35.14311024,-90.18909851,GENERAL ACUTE CARE
151,OUACHITA CO. MEDICAL CENTER,CAMDEN,AR,OUACHITA,33.57582113,-92.83673933,GENERAL ACUTE CARE
152,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,BOONE,36.23653136,-93.10913937,GENERAL ACUTE CARE
153,STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,AR,STONE,35.85658313,-92.08286453,CRITICAL ACCESS
154,PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,CLAY,36.39011947,-90.20483796,CRITICAL ACCESS
155,BAPTIST HEALTH - HEBER SPRINGS,HEBER SPRINGS,AR,CLEBURNE,35.48856958,-92.05798114,CRITICAL ACCESS
156,ST. VINCENT MORRILTON,MORRILTON,AR,CONWAY,35.16801491,-92.72135132,CRITICAL ACCESS
157,UAMS MEDICAL CENTER,LITTLE ROCK,AR,PULASKI,34.74902515,-92.32013731,GENERAL ACUTE CARE
158,BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,LITTLE ROCK,AR,PULASKI,34.78365489,-92.22340916,GENERAL ACUTE CARE
159,UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS,MAUMELLE,AR,PULASKI,34.87643567,-92.39441325,PSYCHIATRIC
160,LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,HOT SPRINGS,AR,GARLAND,34.50989707,-93.05757749,GENERAL ACUTE CARE
161,HOT SPRINGS REHABILITATION CENTER,HOT SPRINGS,AR,GARLAND,34.51212501,-93.05260787,REHABILITATION
162,CHI ST VINCENT HOSPITAL HOT SPRINGS,HOT SPRINGS,AR,GARLAND,34.46802567,-93.06627041,GENERAL ACUTE CARE
163,BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,MALVERN,AR,HOT SPRING,34.35877404,-92.7858884,GENERAL ACUTE CARE
164,ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,PINE BLUFF,AR,JEFFERSON,34.22219143,-92.08268605,GENERAL ACUTE CARE
165,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,JEFFERSON,34.18773469,-92.0176802,GENERAL ACUTE CARE
166,HEALTHSOUTH REHABILITATION HOSPITAL,FAYETTEVILLE,AR,WASHINGTON,36.10909938,-94.15484504,REHABILITATION
167,"MEMORIAL HEALTH UNIV MED CEN, INC",SAVANNAH,GA,CHATHAM,32.03053088,-81.08886242,GENERAL ACUTE CARE
168,VANTAGE POINT OF NORTHWEST ARKANSAS,FAYETTEVILLE,AR,WASHINGTON,36.12789076,-94.11985143,PSYCHIATRIC
169,NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,SPRINGDALE,AR,WASHINGTON,36.13551027,-94.18621922,WOMEN
170,ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL,APPLETON,WI,OUTAGAMIE,44.24825124,-88.40250968,GENERAL ACUTE CARE
171,MENA REGIONAL HEALTH SYSTEM,MENA,AR,POLK,34.5890536,-94.22163124,GENERAL ACUTE CARE
172,MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,LOGAN,35.14032192,-93.93517063,CRITICAL ACCESS
173,MERCY HOSPITAL PARIS,PARIS,AR,LOGAN,35.28929334,-93.72487855,CRITICAL ACCESS
174,CROSSRIDGE COMMUNITY HOSPITAL,WYNNE,AR,CROSS,35.21955792,-90.78664054,GENERAL ACUTE CARE
175,BAPTIST HEALTH REHABILITATION INSTITUTE,LITTLE ROCK,AR,PULASKI,34.74429608,-92.38181609,REHABILITATION
176,ASCENSION SACRED HEART REHAB INST,MILWAUKEE,WI,MILWAUKEE,43.06145544,-87.88038438,REHABILITATION
177,SANTA CRUZ VALLEY HOSPITAL,GREEN VALLEY,AZ,PIMA,31.80657111,-111.0100185,GENERAL ACUTE CARE
178,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,ARKANSAS,34.5175108,-91.55829954,GENERAL ACUTE CARE
179,CASEY COUNTY HOSPITAL,LIBERTY,KY,CASEY,37.31771681,-84.93317191,CRITICAL ACCESS
180,MARCUM AND WALLACE MEMORIAL HOSPITAL,IRVINE,KY,ESTILL,37.706197100000004,-83.97727714,CRITICAL ACCESS
181,HIGHLANDS REGIONAL MEDICAL CENTER,PRESTONSBURG,KY,FLOYD,37.72901006,-82.76732008,GENERAL ACUTE CARE
182,NORTON WOMEN'S AND KOSAIR CHILDREN'S HOSPITAL,LOUISVILLE,KY,JEFFERSON,38.23533009,-85.63293693,WOMEN
183,SAINTS MARY & ELIZABETH HOSPITAL,LOUISVILLE,KY,JEFFERSON,38.17826438,-85.79391641,GENERAL ACUTE CARE
184,THE BROOK - DUPONT,LOUISVILLE,KY,JEFFERSON,38.23569663,-85.62734095,PSYCHIATRIC
185,BAPTIST HEALTH LA GRANGE,LAGRANGE,KY,OLDHAM,38.39489019,-85.37606515,GENERAL ACUTE CARE
186,ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,MA,WORCESTER,42.27641208,-71.79491979,REHABILITATION
187,EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,BEDFORD,MA,MIDDLESEX,42.5047,-71.2744,MILITARY
188,AMESBURY HEALTH CENTER,AMESBURY,MA,ESSEX,42.848414399999996,-70.93338025,GENERAL ACUTE CARE
189,BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,BOSTON,MA,SUFFOLK,42.3379,-71.1092,GENERAL ACUTE CARE
190,"ARBOUR HOSPITAL, THE",BOSTON,MA,SUFFOLK,42.31581841,-71.11227314,PSYCHIATRIC
191,BEVERLY HOSPITAL ADDISON GILBERT CAMPUS,GLOUCESTER,MA,ESSEX,42.6255,-70.6806,GENERAL ACUTE CARE
192,VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,LEICESTER,MA,WORCESTER,42.20189928,-71.89882734,LONG TERM CARE
193,WORCESTER RECOVERY CENTER AND HOSPITAL,WORCESTER,MA,WORCESTER,42.27966719,-71.76906694,PSYCHIATRIC
194,HOULTON REGIONAL HOSPITAL,HOULTON,ME,AROOSTOOK,46.13384624,-67.84362347,CRITICAL ACCESS
195,NORTHERN LIGHT INLAND HOSPITAL,WATERVILLE,ME,KENNEBEC,44.54182648,-69.66149107,GENERAL ACUTE CARE
196,MAINEGENERAL MEDICAL CENTER,AUGUSTA,ME,KENNEBEC,44.31311976,-69.76843437,GENERAL ACUTE CARE
197,MAINEGENERAL MEDICAL CENTER-SETON,WATERVILLE,ME,KENNEBEC,44.54919273,-69.65867356,GENERAL ACUTE CARE
198,SAINT ANDREWS HOSPITAL AND HEALTHCARE CENTER,BOOTHBAY HARBOR,ME,LINCOLN,43.85034393,-69.63876929999999,GENERAL ACUTE CARE
199,MIDMICHIGAN MEDICAL CENTER-GLADWIN,GLADWIN,MI,GLADWIN,43.97594367,-84.49388756,CRITICAL ACCESS
