FID,NAME,CITY,STATE,COUNTY,STATUS,TYPE
87,KAISER FND HOSP - REDWOOD CITY,REDWOOD CITY,CA,SAN MATEO,OPEN,GENERAL ACUTE CARE
88,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONCORD,CA,CONTRA COSTA,OPEN,GENERAL ACUTE CARE
89,SUTTER DELTA MEDICAL CENTER,ANTIOCH,CA,CONTRA COSTA,OPEN,GENERAL ACUTE CARE
90,KAISER FND HOSP - SACRAMENTO,SACRAMENTO,CA,SACRAMENTO,OPEN,GENERAL ACUTE CARE
91,SIERRA NEVADA MEMORIAL HOSPITAL,GRASS VALLEY,CA,NEVADA,OPEN,GENERAL ACUTE CARE
92,LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA,CA,ORANGE,OPEN,GENERAL ACUTE CARE
93,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,SAN CLEMENTE,CA,ORANGE,CLOSED,GENERAL ACUTE CARE
94,FREMONT MEDICAL CENTER,YUBA CITY,CA,SUTTER,OPEN,GENERAL ACUTE CARE
95,PIEDMONT MOUNTAINSIDE HOSPITAL,JASPER,GA,PICKENS,OPEN,GENERAL ACUTE CARE
96,ST MARYS HEALTH CARE SYSTEM,ATHENS,GA,CLARKE,OPEN,GENERAL ACUTE CARE
97,RIDGEVIEW INSTITUTE,SMYRNA,GA,COBB,OPEN,PSYCHIATRIC
98,WESTERLY HOSPITAL,WESTERLY,RI,WASHINGTON,OPEN,GENERAL ACUTE CARE
99,ST MARYS HOSPITAL MADISON,MADISON,WI,DANE,OPEN,GENERAL ACUTE CARE
100,AURORA PSYCHIATRIC HSPTL,WAUWATOSA,WI,MILWAUKEE,OPEN,PSYCHIATRIC
101,COLUMBIA CENTER,MEQUON,WI,OZAUKEE,OPEN,GENERAL ACUTE CARE
102,THEDACARE MEDICAL CENTER BERLIN,BERLIN,WI,GREEN LAKE,OPEN,GENERAL ACUTE CARE
103,MERCY HOSPITAL ROGERS,ROGERS,AR,BENTON,OPEN,GENERAL ACUTE CARE
104,ST CROIX REG MED CTR,SAINT CROIX FALLS,WI,POLK,OPEN,GENERAL ACUTE CARE
105,WESTFIELDS HOSPITAL,NEW RICHMOND,WI,ST. CROIX,OPEN,GENERAL ACUTE CARE
106,ST NICHOLAS HOSPITAL,SHEBOYGAN,WI,SHEBOYGAN,OPEN,GENERAL ACUTE CARE
107,VERNON MEM HSPTL,VIROQUA,WI,VERNON,OPEN,GENERAL ACUTE CARE
108,PIH HOSPITAL - DOWNEY,DOWNEY,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
109,PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,TORRANCE,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
110,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LOMA LINDA,CA,SAN BERNARDINO,OPEN,CHILDREN
111,ASCENSION NE WISCONSIN MERCY CAMPUS,OSHKOSH,WI,WINNEBAGO,OPEN,GENERAL ACUTE CARE
112,MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,WASHINGTON,DC,DISTRICT OF COLUMBIA,OPEN,GENERAL ACUTE CARE
113,ADVENT HEALTH DADE CITY,DADE CITY,FL,PASCO,OPEN,GENERAL ACUTE CARE
114,DELRAY MEDICAL CENTER,DELRAY BEACH,FL,PALM BEACH,OPEN,GENERAL ACUTE CARE
115,POINCIANA MEDICAL CENTER,KISSIMMEE,FL,OSCEOLA,OPEN,GENERAL ACUTE CARE
116,ARBOUR FULLER HOSPITAL,ATTLEBORO,MA,BRISTOL,OPEN,PSYCHIATRIC
117,ARBOUR HUMAN RESOURCE INSTITUTE,BROOKLINE,MA,NORFOLK,OPEN,PSYCHIATRIC
118,ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,MIDDLEBURG,FL,CLAY,OPEN,GENERAL ACUTE CARE
119,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,OCALA,FL,MARION,OPEN,REHABILITATION
120,"NATCHAUG HOSPITAL, INC.",MANSFIELD CENTER,CT,TOLLAND,OPEN,PSYCHIATRIC
121,ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH,STUART,FL,MARTIN,OPEN,REHABILITATION
122,SHRINERS' HOSPITAL FOR CHILDREN,BOSTON,MA,SUFFOLK,OPEN,CHILDREN
123,SPAULDING REHABILITATION HOSPITAL,BOSTON,MA,SUFFOLK,OPEN,REHABILITATION
124,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,FALL RIVER,MA,BRISTOL,OPEN,PSYCHIATRIC
125,BAY RIDGE HOSPITAL BEVERLY,LYNN,MA,ESSEX,OPEN,PSYCHIATRIC
126,ENCOMPASS HEALTH HOSPITAL OF WESTERN MASS,LUDLOW,MA,HAMPDEN,OPEN,REHABILITATION
127,T J HEALTH COLUMBIA,COLUMBIA,KY,ADAIR,OPEN,GENERAL ACUTE CARE
128,DECATUR COUNTY HOSPITAL,LEON,IA,DECATUR,OPEN,GENERAL ACUTE CARE
129,ANDERSON COUNTY HOSPITAL,GARNETT,KS,ANDERSON,OPEN,CRITICAL ACCESS
130,KEARNY COUNTY HOSPITAL,LAKIN,KS,KEARNY,OPEN,CRITICAL ACCESS
131,OTTAWA COUNTY HEALTH CENTER,MINNEAPOLIS,KS,OTTAWA,OPEN,CRITICAL ACCESS
132,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,NORFOLK,OPEN,GENERAL ACUTE CARE
133,VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS,NEW BEDFORD,MA,BRISTOL,OPEN,REHABILITATION
134,NORWOOD HOSPITAL,NORWOOD,MA,NORFOLK,OPEN,GENERAL ACUTE CARE
135,SPAULDING REHABILITATION HOSPITAL CAPE COD,SANDWICH,MA,BARNSTABLE,OPEN,REHABILITATION
136,CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,SOMERVILLE,MA,MIDDLESEX,OPEN,GENERAL ACUTE CARE
137,SHRINERS' HOSPITAL FOR CHILDREN,SPRINGFIELD,MA,HAMPDEN,OPEN,CHILDREN
138,MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,SEBASTIAN,OPEN,GENERAL ACUTE CARE
139,HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,FORT SMITH,AR,SEBASTIAN,OPEN,REHABILITATION
140,WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,SEARCY,AR,WHITE,OPEN,GENERAL ACUTE CARE
141,WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,SEARCY,AR,WHITE,OPEN,GENERAL ACUTE CARE
142,RIVER VALLEY MEDICAL CENTER,DARDANELLE,AR,YELL,OPEN,CRITICAL ACCESS
143,BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,ARKADELPHIA,AR,CLARK,OPEN,CRITICAL ACCESS
144,MERCY HOSPITAL BERRYVILLE,BERRYVILLE,AR,CARROLL,OPEN,CRITICAL ACCESS
145,EUREKA SPRINGS HOSPITAL,EUREKA SPRINGS,AR,CARROLL,OPEN,CRITICAL ACCESS
146,SOUTHEAST REHABILITATION HOSPITAL,LAKE VILLAGE,AR,CHICOT,OPEN,REHABILITATION
147,BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,BRADLEY,OPEN,CRITICAL ACCESS
148,FIVE RIVER MEDICAL CENTER,POCAHONTAS,AR,RANDOLPH,OPEN,GENERAL ACUTE CARE
149,DALLAS COUNTY MEDICAL CENTER,FORDYCE,AR,DALLAS,OPEN,CRITICAL ACCESS
150,CRITTENDEN HOSPITAL ASSOCIATION,WEST MEMPHIS,AR,CRITTENDEN,CLOSED,GENERAL ACUTE CARE
151,OUACHITA CO. MEDICAL CENTER,CAMDEN,AR,OUACHITA,OPEN,GENERAL ACUTE CARE
152,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,BOONE,OPEN,GENERAL ACUTE CARE
153,STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,AR,STONE,OPEN,CRITICAL ACCESS
154,PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,CLAY,OPEN,CRITICAL ACCESS
155,BAPTIST HEALTH - HEBER SPRINGS,HEBER SPRINGS,AR,CLEBURNE,OPEN,CRITICAL ACCESS
156,ST. VINCENT MORRILTON,MORRILTON,AR,CONWAY,OPEN,CRITICAL ACCESS
157,UAMS MEDICAL CENTER,LITTLE ROCK,AR,PULASKI,OPEN,GENERAL ACUTE CARE
158,BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,LITTLE ROCK,AR,PULASKI,OPEN,GENERAL ACUTE CARE
159,UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS,MAUMELLE,AR,PULASKI,OPEN,PSYCHIATRIC
160,LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,HOT SPRINGS,AR,GARLAND,OPEN,GENERAL ACUTE CARE
161,HOT SPRINGS REHABILITATION CENTER,HOT SPRINGS,AR,GARLAND,CLOSED,REHABILITATION
162,CHI ST VINCENT HOSPITAL HOT SPRINGS,HOT SPRINGS,AR,GARLAND,OPEN,GENERAL ACUTE CARE
163,BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,MALVERN,AR,HOT SPRING,OPEN,GENERAL ACUTE CARE
164,ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,PINE BLUFF,AR,JEFFERSON,OPEN,GENERAL ACUTE CARE
165,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,JEFFERSON,OPEN,GENERAL ACUTE CARE
166,HEALTHSOUTH REHABILITATION HOSPITAL,FAYETTEVILLE,AR,WASHINGTON,OPEN,REHABILITATION
167,"MEMORIAL HEALTH UNIV MED CEN, INC",SAVANNAH,GA,CHATHAM,OPEN,GENERAL ACUTE CARE
168,VANTAGE POINT OF NORTHWEST ARKANSAS,FAYETTEVILLE,AR,WASHINGTON,OPEN,PSYCHIATRIC
169,NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,SPRINGDALE,AR,WASHINGTON,OPEN,WOMEN
170,ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL,APPLETON,WI,OUTAGAMIE,OPEN,GENERAL ACUTE CARE
171,MENA REGIONAL HEALTH SYSTEM,MENA,AR,POLK,OPEN,GENERAL ACUTE CARE
172,MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,LOGAN,OPEN,CRITICAL ACCESS
173,MERCY HOSPITAL PARIS,PARIS,AR,LOGAN,OPEN,CRITICAL ACCESS
174,CROSSRIDGE COMMUNITY HOSPITAL,WYNNE,AR,CROSS,OPEN,GENERAL ACUTE CARE
175,BAPTIST HEALTH REHABILITATION INSTITUTE,LITTLE ROCK,AR,PULASKI,OPEN,REHABILITATION
176,ASCENSION SACRED HEART REHAB INST,MILWAUKEE,WI,MILWAUKEE,OPEN,REHABILITATION
177,SANTA CRUZ VALLEY HOSPITAL,GREEN VALLEY,AZ,PIMA,OPEN,GENERAL ACUTE CARE
178,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,ARKANSAS,OPEN,GENERAL ACUTE CARE
179,CASEY COUNTY HOSPITAL,LIBERTY,KY,CASEY,OPEN,CRITICAL ACCESS
180,MARCUM AND WALLACE MEMORIAL HOSPITAL,IRVINE,KY,ESTILL,OPEN,CRITICAL ACCESS
181,HIGHLANDS REGIONAL MEDICAL CENTER,PRESTONSBURG,KY,FLOYD,OPEN,GENERAL ACUTE CARE
182,NORTON WOMEN'S AND KOSAIR CHILDREN'S HOSPITAL,LOUISVILLE,KY,JEFFERSON,OPEN,WOMEN
183,SAINTS MARY & ELIZABETH HOSPITAL,LOUISVILLE,KY,JEFFERSON,OPEN,GENERAL ACUTE CARE
184,THE BROOK - DUPONT,LOUISVILLE,KY,JEFFERSON,OPEN,PSYCHIATRIC
185,BAPTIST HEALTH LA GRANGE,LAGRANGE,KY,OLDHAM,OPEN,GENERAL ACUTE CARE
186,ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,MA,WORCESTER,OPEN,REHABILITATION
187,EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,BEDFORD,MA,MIDDLESEX,OPEN,MILITARY
188,AMESBURY HEALTH CENTER,AMESBURY,MA,ESSEX,OPEN,GENERAL ACUTE CARE
189,BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,BOSTON,MA,SUFFOLK,OPEN,GENERAL ACUTE CARE
190,"ARBOUR HOSPITAL, THE",BOSTON,MA,SUFFOLK,OPEN,PSYCHIATRIC
191,BEVERLY HOSPITAL ADDISON GILBERT CAMPUS,GLOUCESTER,MA,ESSEX,OPEN,GENERAL ACUTE CARE
192,VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,LEICESTER,MA,WORCESTER,OPEN,LONG TERM CARE
193,WORCESTER RECOVERY CENTER AND HOSPITAL,WORCESTER,MA,WORCESTER,OPEN,PSYCHIATRIC
194,HOULTON REGIONAL HOSPITAL,HOULTON,ME,AROOSTOOK,OPEN,CRITICAL ACCESS
195,NORTHERN LIGHT INLAND HOSPITAL,WATERVILLE,ME,KENNEBEC,OPEN,GENERAL ACUTE CARE
196,MAINEGENERAL MEDICAL CENTER,AUGUSTA,ME,KENNEBEC,CLOSED,GENERAL ACUTE CARE
197,MAINEGENERAL MEDICAL CENTER-SETON,WATERVILLE,ME,KENNEBEC,CLOSED,GENERAL ACUTE CARE
198,SAINT ANDREWS HOSPITAL AND HEALTHCARE CENTER,BOOTHBAY HARBOR,ME,LINCOLN,CLOSED,GENERAL ACUTE CARE
199,MIDMICHIGAN MEDICAL CENTER-GLADWIN,GLADWIN,MI,GLADWIN,OPEN,CRITICAL ACCESS
200,HELEN NEWBERRY JOY HOSPITAL,NEWBERRY,MI,LUCE,OPEN,CRITICAL ACCESS
201,MUNISING MEMORIAL HOSPITAL,MUNISING,MI,ALGER,OPEN,CRITICAL ACCESS
202,BOURNEWOOD HOSPITAL,BROOKLINE,MA,NORFOLK,OPEN,PSYCHIATRIC
203,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,HOWELL,MI,LIVINGSTON,OPEN,GENERAL ACUTE CARE
204,HILLSDALE COMMUNITY HEALTH CENTER,HILLSDALE,MI,HILLSDALE,OPEN,GENERAL ACUTE CARE
205,DMC SURGERY HOSPITAL,MADISON HEIGHTS,MI,OAKLAND,OPEN,GENERAL ACUTE CARE
206,"LAKELAND COMMUNITY HOSPITAL, WATERVLIET",WATERVLIET,MI,BERRIEN,OPEN,GENERAL ACUTE CARE
207,MCLAREN CENTRAL MICHIGAN,MOUNT PLEASANT,MI,ISABELLA,OPEN,GENERAL ACUTE CARE
208,SPECTRUM HEALTH LUDINGTON HOSPITAL,LUDINGTON,MI,MASON,OPEN,GENERAL ACUTE CARE
209,BRONSON LAKEVIEW HOSPITAL,PAW PAW,MI,VAN BUREN,OPEN,GENERAL ACUTE CARE
210,DECKERVILLE COMMUNITY HOSPITAL,DECKERVILLE,MI,SANILAC,OPEN,GENERAL ACUTE CARE
211,HENRY FORD HOSPITAL,DETROIT,MI,WAYNE,OPEN,GENERAL ACUTE CARE
212,MAYO CLINIC HEALTH SYS ALBT LE,ALBERT LEA,MN,FREEBORN,OPEN,GENERAL ACUTE CARE
213,MAYO CLINIC HEALTH SYS CF,CANNON FALLS,MN,GOODHUE,OPEN,CRITICAL ACCESS
214,MAYO CLINIC HEALTH SYS FAIRMNT,FAIRMONT,MN,MARTIN,OPEN,GENERAL ACUTE CARE
215,MAYO CLINIC HEALTH SYSTEM S F,SPRINGFIELD,MN,BROWN,OPEN,CRITICAL ACCESS
216,HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,COLUMBIA,MO,BOONE,OPEN,GENERAL ACUTE CARE
217,VIBRA HOSPITAL OF CENTRAL DAKOTAS,MANDAN,ND,MORTON,OPEN,LONG TERM CARE
218,JACOBSON MEMORIAL HOSPITAL & CARE CENTER,ELGIN,ND,GRANT,OPEN,CRITICAL ACCESS
219,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,ANDERSON,IN,MADISON,OPEN,GENERAL ACUTE CARE
220,MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,IN,ST. JOSEPH,OPEN,GENERAL ACUTE CARE
221,COMPLEX CARE HOSPITAL AT TENAYA,LAS VEGAS,NV,CLARK,OPEN,LONG TERM CARE
222,DESERT SPRINGS HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,CLARK,OPEN,GENERAL ACUTE CARE
223,EASTERN REGIONAL MEDICAL CENTER,PHILADELPHIA,PA,PHILADELPHIA,OPEN,GENERAL ACUTE CARE
224,THOMAS JEFFERSON UNIVERSITY HOSPITAL,PHILADELPHIA,PA,PHILADELPHIA,OPEN,GENERAL ACUTE CARE
225,PENN PRESBYTERIAN MEDICAL CENTER,PHILADELPHIA,PA,PHILADELPHIA,OPEN,GENERAL ACUTE CARE
